Freq	Vo
1.60000000000000e-001	(2.79247562684253e-004dB,-6.33644929788449e-001°)
2.01428065887067e-001	(4.82127917127645e-004dB,-7.97739849008193e-001°)
2.53582910793778e-001	(8.03628815530931e-004dB,-1.00435112545347e+000°)
3.19241970395021e-001	(1.31306587698856e-003dB,-1.26451520697856e+000°)
4.01901829041533e-001	(2.12019900289554e-003dB,-1.59215391424979e+000°)
5.05964425626941e-001	(3.39873960877651e-003dB,-2.00484917355907e+000°)
6.36971472885596e-001	(5.42338200217827e-003dB,-2.52484587886767e+000°)
8.01899573803636e-001	(8.62792647280917e-003dB,-3.18036940710060e+000°)
1.00953175116831e+000	(1.36959629465139e-002dB,-4.00739415491128e+000°)
1.27092517555885e+000	(2.17009528347770e-002dB,-5.05208976362548e+000°)
1.60000000000000e+000	(3.43189483985153e-002dB,-6.37434080815029e+000°)
2.01428065887067e+000	(5.41417959354404e-002dB,-8.05306048150369e+000°)
2.53582910793778e+000	(8.51110795005846e-002dB,-1.01946537771972e+001°)
3.19241970395021e+000	(1.33039750805482e-001dB,-1.29472399593043e+001°)
4.01901829041533e+000	(2.05984976738349e-001dB,-1.65257126389679e+001°)
5.05964425626941e+000	(3.13556552469135e-001dB,-2.12573749634854e+001°)
6.36971472885596e+000	(4.62070398738369e-001dB,-2.76652055655319e+001°)
8.01899573803636e+000	(6.35767284163429e-001dB,-3.66075111102556e+001°)
1.00953175116831e+001	(7.36943131967999e-001dB,-4.94226806793384e+001°)
1.27092517555885e+001	(4.44248833334855e-001dB,-6.75932902180680e+001°)
1.60000000000000e+001	(-8.74260702095326e-001dB,-9.05643496362054e+001°)
2.01428065887067e+001	(-3.61857969567531e+000dB,-1.13390435967911e+002°)
2.53582910793778e+001	(-7.35669483866075e+000dB,-1.31292265797434e+002°)
3.19241970395021e+001	(-1.14660026726358e+001dB,-1.43889816865010e+002°)
4.01901829041533e+001	(-1.56396959326849e+001dB,-1.52687774671192e+002°)
5.05964425626941e+001	(-1.97863714053984e+001dB,-1.59001834593290e+002°)
6.36971472885597e+001	(-2.38921683011088e+001dB,-1.63670787658046e+002°)
8.01899573803637e+001	(-2.79638152341415e+001dB,-1.67205917985520e+002°)
1.00953175116831e+002	(-3.20109226899713e+001dB,-1.69928009510368e+002°)
1.27092517555885e+002	(-3.60414728451893e+001dB,-1.72048450117307e+002°)
1.60000000000000e+002	(-4.00612264358379e+001dB,-1.73713761670415e+002°)
2.01428065887067e+002	(-4.40741246611353e+001dB,-1.75030333477536e+002°)
2.53582910793779e+002	(-4.80828253003861e+001dB,-1.76078986317716e+002°)
3.19241970395021e+002	(-5.20891558627178e+001dB,-1.76924634213209e+002°)
4.01901829041534e+002	(-5.60944594263166e+001dB,-1.77624263242361e+002°)
5.05964425626942e+002	(-6.00998576403095e+001dB,-1.78235922534118e+002°)
6.36971472885597e+002	(-6.41064505480795e+001dB,-1.78832194872008e+002°)
8.01899573803638e+002	(-6.81154100891935e+001dB,-1.79524092448025e+002°)
1.00953175116831e+003	(-7.21276653300509e+001dB,1.79493234085979e+002°)
1.27092517555885e+003	(-7.61418275661621e+001dB,1.77850735986300e+002°)
1.59100000000000e+003	(-8.00471636083514e+001dB,1.74930724782242e+002°)
