Freq.	V(vo)
1.60000000000000e-001	9.99970995892591e-001,-1.10593204277161e-002
2.01428065887067e-001	9.99958577186603e-001,-1.39235099282389e-002
2.53582910793778e-001	9.99938878163751e-001,-1.75299581034595e-002
3.19241970395021e-001	9.99907615359629e-001,-2.20714985444911e-002
4.01901829041533e-001	9.99857961732556e-001,-2.77915348237858e-002
5.05964425626941e-001	9.99779001107810e-001,-3.49977708165747e-002
6.36971472885596e-001	9.99653190993918e-001,-4.40801275076717e-002
8.01899573803636e-001	9.99452120663915e-001,-5.55345540351690e-002
1.00953175116831e+000	9.99129231264978e-001,-6.99954934911877e-002
1.27092517555885e+000	9.98606869634426e-001,-8.82816738573010e-002
1.60000000000000e+000	9.97752195211810e-001,-1.11463410468057e-001
2.01428065887067e+000	9.96329870669161e-001,-1.40966060227635e-001
2.53582910793778e+000	9.93903605412097e-001,-1.78735743628972e-001
3.19241970395021e+000	9.89619066212692e-001,-2.27511918989616e-001
4.01901829041533e+000	9.81699193081394e-001,-2.91271825654470e-001
5.05964425626941e+000	9.66219201626294e-001,-3.75885282149607e-001
6.36971472885596e+000	9.34067526885351e-001,-4.89673055518633e-001
8.01899573803636e+000	8.63699947937282e-001,-6.41615881987826e-001
1.00953175116831e+001	7.08071046586920e-001,-8.26782805769437e-001
1.27092517555885e+001	4.01181597959104e-001,-9.73016075139731e-001
1.60000000000000e+001	-8.90646897696912e-003,-9.04202903803633e-001
2.01428065887067e+001	-2.61731330613184e-001,-6.05102519391479e-001
2.53582910793778e+001	-2.82906907576248e-001,-3.22113857777734e-001
3.19241970395021e+001	-2.15799032699763e-001,-1.57422117330512e-001
4.01901829041533e+001	-1.46785140634298e-001,-7.58011283082846e-002
5.05964425626941e+001	-9.56838199495660e-002,-3.67260620391752e-002
6.36971472885597e+001	-6.13069787578747e-002,-1.79613505179095e-002
8.01899573803637e+001	-3.89843739941549e-002,-8.85279808924866e-003
1.00953175116831e+002	-2.47006711121516e-002,-4.38740248221481e-003
1.27092517555885e+002	-1.56217825337805e-002,-2.18202903497057e-003
1.60000000000000e+002	-9.87005349493993e-003,-1.08726456637831e-003
2.01428065887067e+002	-6.23243915525164e-003,-5.41943098021032e-004
2.53582910793779e+002	-3.93405996846112e-003,-2.69646892223009e-004
3.19241970395021e+002	-2.48265457348598e-003,-1.33385246845114e-004
4.01901829041534e+002	-1.56640326844436e-003,-6.49872649001182e-005
5.05964425626942e+002	-9.88100771851172e-004,-3.04322119615077e-005
6.36971472885597e+002	-6.23142335053575e-004,-1.27026738691721e-005
8.01899573803638e+002	-3.92838924977365e-004,-3.26305553903852e-006
1.00953175116831e+003	-2.47513987044964e-004,2.18925239968762e-006
1.27092517555885e+003	-1.55812751042581e-004,5.84754940995483e-006
1.59100000000000e+003	-9.90694576926410e-005,8.78816709167125e-006
