ti;t;Vi;V
0;-0.04;0.00E+00;0.00E+00
0.0001;-0.0399;0.00E+00;0.00E+00
0.0002;-0.0398;0.00E+00;0.00E+00
0.0003;-0.0397;0.00E+00;0.00E+00
0.0004;-0.0396;-4.00E-02;-1.09E-02
0.0005;-0.0395;-4.00E-02;-1.09E-02
0.0006;-0.0394;0.00E+00;0.00E+00
0.0007;-0.0393;-4.00E-02;-1.09E-02
0.0008;-0.0392;0.00E+00;0.00E+00
0.0009;-0.0391;0.00E+00;0.00E+00
0.001;-0.039;0.00E+00;0.00E+00
0.0011;-0.0389;-4.00E-02;-1.09E-02
0.0012;-0.0388;0.00E+00;0.00E+00
0.0013;-0.0387;0.00E+00;0.00E+00
0.0014;-0.0386;0.00E+00;0.00E+00
0.0015;-0.0385;-4.00E-02;-1.09E-02
0.0016;-0.0384;-4.00E-02;-1.09E-02
0.0017;-0.0383;-4.00E-02;-1.09E-02
0.0018;-0.0382;0.00E+00;0.00E+00
0.0019;-0.0381;0.00E+00;0.00E+00
0.002;-0.038;-4.00E-02;-1.09E-02
0.0021;-0.0379;-4.00E-02;-1.09E-02
0.0022;-0.0378;-4.00E-02;-1.09E-02
0.0023;-0.0377;-4.00E-02;-1.09E-02
0.0024;-0.0376;-4.00E-02;-1.09E-02
0.0025;-0.0375;-4.00E-02;-1.09E-02
0.0026;-0.0374;-4.00E-02;-1.09E-02
0.0027;-0.0373;-4.00E-02;-1.09E-02
0.0028;-0.0372;-4.00E-02;-1.09E-02
0.0029;-0.0371;-4.00E-02;-1.09E-02
0.003;-0.037;-4.00E-02;-1.09E-02
0.0031;-0.0369;-4.00E-02;-1.09E-02
0.0032;-0.0368;0.00E+00;0.00E+00
0.0033;-0.0367;0.00E+00;0.00E+00
0.0034;-0.0366;-4.00E-02;-1.09E-02
0.0035;-0.0365;0.00E+00;0.00E+00
0.0036;-0.0364;0.00E+00;0.00E+00
0.0037;-0.0363;0.00E+00;0.00E+00
0.0038;-0.0362;-4.00E-02;-1.09E-02
0.0039;-0.0361;-4.00E-02;-1.09E-02
0.004;-0.036;-4.00E-02;-1.09E-02
0.0041;-0.0359;-4.00E-02;-1.09E-02
0.0042;-0.0358;-4.00E-02;-1.09E-02
0.0043;-0.0357;0.00E+00;0.00E+00
0.0044;-0.0356;0.00E+00;0.00E+00
0.0045;-0.0355;0.00E+00;0.00E+00
0.0046;-0.0354;0.00E+00;0.00E+00
0.0047;-0.0353;0.00E+00;0.00E+00
0.0048;-0.0352;-4.00E-02;-1.09E-02
0.0049;-0.0351;-4.00E-02;-1.09E-02
0.005;-0.035;0.00E+00;0.00E+00
0.0051;-0.0349;0.00E+00;0.00E+00
0.0052;-0.0348;0.00E+00;0.00E+00
0.0053;-0.0347;0.00E+00;0.00E+00
0.0054;-0.0346;0.00E+00;0.00E+00
0.0055;-0.0345;0.00E+00;0.00E+00
0.0056;-0.0344;0.00E+00;0.00E+00
0.0057;-0.0343;0.00E+00;0.00E+00
0.0058;-0.0342;-4.00E-02;-1.09E-02
0.0059;-0.0341;0.00E+00;0.00E+00
0.006;-0.034;-4.00E-02;-1.09E-02
0.0061;-0.0339;-4.00E-02;-1.09E-02
0.0062;-0.0338;-4.00E-02;-1.09E-02
0.0063;-0.0337;-4.00E-02;-1.09E-02
0.0064;-0.0336;-4.00E-02;-1.09E-02
0.0065;-0.0335;-4.00E-02;-1.09E-02
0.0066;-0.0334;-4.00E-02;-1.09E-02
0.0067;-0.0333;-4.00E-02;-1.09E-02
0.0068;-0.0332;0.00E+00;0.00E+00
0.0069;-0.0331;0.00E+00;0.00E+00
0.007;-0.033;0.00E+00;0.00E+00
0.0071;-0.0329;0.00E+00;0.00E+00
0.0072;-0.0328;-4.00E-02;-1.09E-02
0.0073;-0.0327;0.00E+00;0.00E+00
0.0074;-0.0326;-4.00E-02;-1.09E-02
