time	Vo
0.000000000000000e+000	1.355800e-003
1.000000000000000e-009	5.459806e-003
3.667614542377448e-009	5.536673e-003
6.335229084754895e-009	5.593568e-003
9.002843627132344e-009	5.630493e-003
1.167045816950979e-008	5.647447e-003
1.433807271188724e-008	5.644430e-003
1.700568725426469e-008	5.621443e-003
1.967330179664213e-008	5.578484e-003
2.918016114939059e-008	5.421399e-003
3.868702050213906e-008	5.264555e-003
4.819387985488752e-008	5.107953e-003
5.770073920763599e-008	4.951592e-003
6.720759856038445e-008	4.795473e-003
7.671445791313292e-008	4.639595e-003
8.622131726588137e-008	4.483958e-003
1.175192536927033e-007	4.059735e-003
1.791509327812165e-007	3.379232e-003
2.419984326300206e-007	2.855442e-003
3.324867486026490e-007	2.331550e-003
4.244724572991409e-007	1.983537e-003
5.490260157986080e-007	1.702602e-003
6.752458567056573e-007	1.544417e-003
8.452267532412421e-007	1.440816e-003
1.033807637861549e-006	1.390772e-003
1.638557563910674e-006	1.358652e-003
2.003791235414575e-004	1.591577e-003
3.991196895190043e-004	2.186323e-003
5.978602554965512e-004	3.142891e-003
7.966008214740980e-004	4.461280e-003
9.953413874516446e-004	6.141491e-003
1.194081953429192e-003	8.183524e-003
1.392822519406738e-003	1.058738e-002
1.510010019406738e-003	1.215272e-002
1.627197519406738e-003	1.383296e-002
1.744385019406738e-003	1.562640e-002
1.861572519406738e-003	1.753134e-002
2.095947519406739e-003	2.166898e-002
2.330322519406739e-003	2.623247e-002
2.564697519406739e-003	3.120851e-002
2.799072519406739e-003	3.658388e-002
3.150635019406739e-003	4.536714e-002
3.502197519406740e-003	5.497593e-002
3.853760019406740e-003	6.536729e-002
4.289027876549598e-003	7.943928e-002
4.724295733692456e-003	9.438029e-002
5.159563590835313e-003	1.101903e-001
5.594831447978170e-003	1.268694e-001
6.030099305121028e-003	1.444174e-001
6.465367162263886e-003	1.628345e-001
6.900635019406742e-003	1.821206e-001
7.570277876549596e-003	2.132221e-001
8.239920733692450e-003	2.450310e-001
8.909563590835305e-003	2.775473e-001
9.579206447978158e-003	3.107712e-001
1.024884930512101e-002	3.447025e-001
1.091849216226387e-002	3.793413e-001
1.158813501940672e-002	4.146876e-001
1.193969751940672e-002	4.330205e-001
1.229126001940671e-002	4.513470e-001
1.306134930512100e-002	4.917818e-001
1.383143859083529e-002	5.314284e-001
1.460152787654957e-002	5.702868e-001
1.537161716226386e-002	6.083571e-001
1.614170644797814e-002	6.456392e-001
1.691179573369243e-002	6.821331e-001
1.768188501940671e-002	7.178389e-001
1.861938501940672e-002	7.593497e-001
1.955688501940673e-002	7.985986e-001
2.049438501940673e-002	8.355856e-001
2.143188501940674e-002	8.703106e-001
2.236938501940675e-002	9.027738e-001
2.330688501940676e-002	9.329750e-001
2.424438501940677e-002	9.609144e-001
2.506469751940677e-002	9.831796e-001
2.588501001940678e-002	1.003719e+000
2.670532251940679e-002	1.022532e+000
2.752563501940679e-002	1.039619e+000
2.834594751940680e-002	1.054979e+000
2.916626001940681e-002	1.068614e+000
2.998657251940681e-002	1.080523e+000
3.095755466226394e-002	1.092449e+000
3.192853680512107e-002	1.102625e+000
3.289951894797819e-002	1.111052e+000
3.387050109083532e-002	1.117729e+000
3.484148323369245e-002	1.122656e+000
3.581246537654958e-002	1.125834e+000
3.678344751940670e-002	1.127262e+000
3.773768859083525e-002	1.127424e+000
3.869192966226381e-002	1.126738e+000
3.964617073369236e-002	1.125204e+000
4.060041180512091e-002	1.122821e+000
4.155465287654946e-002	1.119590e+000
4.250889394797801e-002	1.115510e+000
4.346313501940656e-002	1.110582e+000
4.451782251940654e-002	1.104632e+000
4.557251001940652e-002	1.098481e+000
4.662719751940649e-002	1.092129e+000
4.768188501940647e-002	1.085576e+000
4.873657251940645e-002	1.078822e+000
4.979126001940643e-002	1.071867e+000
5.084594751940640e-002	1.064712e+000
5.196759930512066e-002	1.057333e+000
5.308925109083493e-002	1.050263e+000
5.421090287654919e-002	1.043500e+000
5.533255466226345e-002	1.037044e+000
5.645420644797771e-002	1.030895e+000
5.757585823369198e-002	1.025054e+000
5.869751001940624e-002	1.019521e+000
5.991960823369197e-002	1.014088e+000
6.114170644797769e-002	1.009154e+000
6.236380466226342e-002	1.004719e+000
6.358590287654915e-002	1.000783e+000
6.480800109083489e-002	9.973467e-001
6.603009930512060e-002	9.944095e-001
6.725219751940634e-002	9.919715e-001
6.862496537654925e-002	9.898373e-001
6.999773323369216e-002	9.881100e-001
7.137050109083507e-002	9.867895e-001
7.274326894797797e-002	9.858759e-001
7.411603680512088e-002	9.853692e-001
7.548880466226379e-002	9.852693e-001
7.686157251940670e-002	9.855763e-001
7.841849216226390e-002	9.862188e-001
7.997541180512111e-002	9.869891e-001
8.153233144797831e-002	9.878872e-001
8.308925109083551e-002	9.889130e-001
8.464617073369271e-002	9.900666e-001
8.620309037654991e-002	9.913479e-001
8.776001001940711e-002	9.927570e-001
8.958478680512147e-002	9.943070e-001
9.140956359083582e-002	9.957402e-001
9.323434037655018e-002	9.970567e-001
9.505911716226453e-002	9.982564e-001
9.688389394797889e-002	9.993394e-001
9.870867073369324e-002	1.000306e+000
1.005334475194076e-001	1.001155e+000
1.024586707336934e-001	1.001827e+000
1.043838939479792e-001	1.002380e+000
1.063091171622650e-001	1.002813e+000
1.082343403765508e-001	1.003127e+000
1.101595635908365e-001	1.003322e+000
1.120847868051223e-001	1.003397e+000
1.140100100194081e-001	1.003353e+000
1.141271975194081e-001	1.003351e+000
1.199865725194083e-001	1.002981e+000
1.200000000000000e-001	1.002979e+000
