t	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-012	-2.554329e-017
3.005839947428012e-010	-2.527526e-009
6.001679894856025e-010	-9.203711e-009
8.997519842284037e-010	-2.002855e-008
1.199335978971205e-009	-3.500206e-008
1.498919973714006e-009	-5.412422e-008
1.798503968456808e-009	-7.739504e-008
2.098087963199608e-009	-1.048145e-007
4.195239926398093e-009	-3.934421e-007
8.389543852795062e-009	-1.339896e-006
1.425445993638067e-008	-3.208268e-006
2.049890319612980e-008	-5.648614e-006
2.720809524136174e-008	-8.428245e-006
3.496142495791494e-008	-1.132363e-005
4.669866051983291e-008	-1.442575e-005
6.338120435478908e-008	-1.615041e-005
9.040415971997659e-008	-1.548379e-005
1.358295114788116e-007	-1.375785e-005
2.266802149964817e-007	-1.311292e-005
4.083816220318218e-007	-1.041587e-005
5.791114732077534e-007	-4.938152e-006
7.682558778279638e-007	-5.864497e-007
9.655217587170583e-007	1.207343e-007
2.218384674343971e-004	1.429001e-004
4.427114131100772e-004	5.077375e-004
6.635843587857572e-004	1.094633e-003
8.844573044614372e-004	1.903587e-003
1.105330250137117e-003	2.934599e-003
1.326203195812797e-003	4.187668e-003
1.547076141488477e-003	5.662797e-003
1.664263641488477e-003	6.522543e-003
1.898638641488477e-003	8.411267e-003
2.133013641488477e-003	1.052032e-002
2.367388641488478e-003	1.284341e-002
2.601763641488478e-003	1.537433e-002
2.953326141488478e-003	1.954705e-002
3.304888641488478e-003	2.415340e-002
3.656451141488479e-003	2.917359e-002
4.108460070059908e-003	3.629759e-002
4.560468998631337e-003	4.394014e-002
5.012477927202766e-003	5.210123e-002
5.464486855774196e-003	6.078088e-002
5.916495784345624e-003	6.997907e-002
6.368504712917053e-003	7.969582e-002
6.820513641488482e-003	8.993111e-002
7.523638641488478e-003	1.067468e-001
8.226763641488475e-003	1.241418e-001
8.929888641488472e-003	1.421160e-001
9.633013641488469e-003	1.606695e-001
1.033613864148847e-002	1.798022e-001
1.103926364148846e-002	1.995142e-001
1.174238864148846e-002	2.198054e-001
1.212743328434560e-002	2.309279e-001
1.251247792720274e-002	2.420853e-001
1.289752257005988e-002	2.532778e-001
1.328256721291702e-002	2.645052e-001
1.366761185577416e-002	2.757677e-001
1.405265649863130e-002	2.870651e-001
1.443770114148844e-002	2.983975e-001
1.467207614148844e-002	3.052775e-001
1.502363864148844e-002	3.155907e-001
1.537520114148843e-002	3.258892e-001
1.604484399863130e-002	3.455316e-001
1.671448685577416e-002	3.649564e-001
1.738412971291702e-002	3.841637e-001
1.805377257005988e-002	4.031535e-001
1.872341542720275e-002	4.219256e-001
1.939305828434561e-002	4.404803e-001
2.006270114148847e-002	4.588174e-001
2.101694221291705e-002	4.843645e-001
2.197118328434563e-002	5.090735e-001
2.292542435577421e-002	5.329442e-001
2.387966542720279e-002	5.559767e-001
2.483390649863137e-002	5.781709e-001
2.578814757005995e-002	5.995269e-001
2.674238864148852e-002	6.200446e-001
2.749573685577424e-002	6.355168e-001
2.824908507005996e-002	6.504049e-001
2.900243328434568e-002	6.647090e-001
2.975578149863140e-002	6.784290e-001
3.050912971291711e-002	6.915651e-001
3.126247792720283e-002	7.041171e-001
3.201582614148855e-002	7.160851e-001
3.246783507005997e-002	7.229908e-001
3.291984399863138e-002	7.296983e-001
3.337185292720281e-002	7.362074e-001
3.382386185577423e-002	7.425183e-001
3.427587078434564e-002	7.486309e-001
3.472787971291706e-002	7.545452e-001
3.517988864148848e-002	7.602612e-001
3.593323685577418e-002	7.693412e-001
3.668658507005988e-002	7.779392e-001
3.743993328434558e-002	7.860552e-001
3.819328149863127e-002	7.936892e-001
3.894662971291697e-002	8.008412e-001
3.969997792720267e-002	8.075112e-001
4.045332614148837e-002	8.136992e-001
4.085511185577408e-002	8.168354e-001
4.125689757005978e-002	8.198572e-001
4.165868328434549e-002	8.227647e-001
4.206046899863119e-002	8.255577e-001
4.246225471291690e-002	8.282364e-001
4.286404042720261e-002	8.308006e-001
4.326582614148831e-002	8.332505e-001
4.361738864148830e-002	8.353122e-001
4.425354935577400e-002	8.388185e-001
4.488971007005970e-002	8.420962e-001
4.552587078434540e-002	8.451456e-001
4.616203149863110e-002	8.479664e-001
4.679819221291681e-002	8.505589e-001
4.743435292720251e-002	8.529228e-001
4.807051364148821e-002	8.550584e-001
4.900801364148819e-002	8.578183e-001
4.994551364148817e-002	8.602436e-001
5.088301364148815e-002	8.623342e-001
5.182051364148813e-002	8.640901e-001
5.275801364148811e-002	8.655113e-001
5.369551364148809e-002	8.665978e-001
5.463301364148807e-002	8.673496e-001
5.538636185577377e-002	8.677959e-001
5.613971007005946e-002	8.681179e-001
5.689305828434516e-002	8.683156e-001
5.764640649863086e-002	8.683891e-001
5.839975471291656e-002	8.683383e-001
5.915310292720226e-002	8.681632e-001
5.990645114148795e-002	8.678638e-001
6.081046899863082e-002	8.673837e-001
6.171448685577369e-002	8.668187e-001
6.261850471291657e-002	8.661689e-001
6.352252257005943e-002	8.654343e-001
6.442654042720229e-002	8.646149e-001
6.533055828434517e-002	8.637106e-001
6.623457614148803e-002	8.627215e-001
