t	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-012	-3.597482e-017
3.005839947428012e-010	-4.105434e-009
6.001679894856025e-010	-1.495041e-008
8.997519842284037e-010	-3.253494e-008
1.199335978971205e-009	-5.685901e-008
1.498919973714006e-009	-8.792262e-008
1.798503968456808e-009	-1.257258e-007
2.098087963199608e-009	-1.702685e-007
4.195239926398093e-009	-6.391440e-007
8.389543852795062e-009	-2.176646e-006
1.425442029184567e-008	-5.211707e-006
2.049849386296902e-008	-9.175553e-006
2.720784257189854e-008	-1.369052e-005
3.496249688376338e-008	-1.839306e-005
4.670499393093205e-008	-2.342801e-005
6.340577893633983e-008	-2.620905e-005
9.050733653278249e-008	-2.499047e-005
1.364802826000094e-007	-2.033823e-005
2.137967242757035e-007	-1.227777e-005
2.930331546721955e-007	-3.089382e-006
3.760892952107124e-007	1.463636e-006
4.677568457358700e-007	3.931217e-007
2.860562514110469e-004	9.960567e-005
5.716447459763580e-004	3.433092e-004
8.572332405416691e-004	7.315036e-004
1.142821735106980e-003	1.264189e-003
1.428410229672291e-003	1.941365e-003
1.713998724237602e-003	2.763033e-003
1.999587218802913e-003	3.729191e-003
2.185134093802913e-003	4.420787e-003
2.370680968802913e-003	5.166115e-003
2.556227843802912e-003	5.964015e-003
2.927321593802912e-003	7.712969e-003
3.298415343802912e-003	9.658713e-003
3.669509093802912e-003	1.179259e-002
4.040602843802912e-003	1.410620e-002
4.597243468802913e-003	1.789594e-002
5.153884093802914e-003	2.204551e-002
5.763538111660057e-003	2.704192e-002
6.373192129517201e-003	3.233869e-002
6.982846147374345e-003	3.793580e-002
7.592500165231487e-003	4.383326e-002
8.202154183088631e-003	5.003108e-002
8.811808200945775e-003	5.652924e-002
9.421462218802915e-003	6.332776e-002
1.016364971880291e-002	7.189181e-002
1.090583721880291e-002	8.065209e-002
1.164802471880291e-002	8.960859e-002
1.239021221880291e-002	9.876131e-002
1.313239971880291e-002	1.081103e-001
1.387458721880291e-002	1.176554e-001
1.461677471880290e-002	1.273968e-001
1.512040195094576e-002	1.340291e-001
1.562402918308862e-002	1.406827e-001
1.612765641523148e-002	1.473576e-001
1.663128364737434e-002	1.540539e-001
1.713491087951720e-002	1.607714e-001
1.763853811166006e-002	1.675102e-001
1.814216534380292e-002	1.742703e-001
1.851325909380292e-002	1.792411e-001
1.888435284380292e-002	1.842104e-001
1.944099346880292e-002	1.916571e-001
1.999763409380293e-002	1.990899e-001
2.076632829023151e-002	2.093485e-001
2.153502248666008e-002	2.195256e-001
2.230371668308866e-002	2.296211e-001
2.307241087951724e-002	2.396351e-001
2.384110507594581e-002	2.495674e-001
2.460979927237439e-002	2.594182e-001
2.537849346880296e-002	2.691875e-001
2.649177471880297e-002	2.831268e-001
2.760505596880297e-002	2.967693e-001
2.871833721880297e-002	3.101151e-001
2.983161846880298e-002	3.231641e-001
3.094489971880298e-002	3.359163e-001
3.205818096880298e-002	3.483717e-001
3.317146221880298e-002	3.605303e-001
3.468234391523153e-002	3.764624e-001
3.619322561166009e-002	3.917875e-001
3.770410730808865e-002	4.065054e-001
3.921498900451720e-002	4.206162e-001
4.072587070094575e-002	4.341200e-001
4.223675239737430e-002	4.470166e-001
4.374763409380286e-002	4.593061e-001
4.584166311165997e-002	4.752916e-001
4.793569212951709e-002	4.903240e-001
5.002972114737421e-002	5.044032e-001
5.212375016523133e-002	5.175292e-001
5.421777918308845e-002	5.297021e-001
5.631180820094556e-002	5.409218e-001
5.840583721880268e-002	5.511884e-001
6.063239971880265e-002	5.612444e-001
6.285896221880263e-002	5.706079e-001
6.508552471880261e-002	5.792787e-001
6.731208721880258e-002	5.872571e-001
6.953864971880255e-002	5.945428e-001
7.176521221880253e-002	6.011360e-001
7.399177471880250e-002	6.070366e-001
7.616532382594533e-002	6.123327e-001
7.833887293308817e-002	6.172512e-001
8.051242204023100e-002	6.217923e-001
8.268597114737383e-002	6.259560e-001
8.485952025451665e-002	6.297421e-001
8.703306936165950e-002	6.331508e-001
8.920661846880232e-002	6.361820e-001
9.138016757594515e-002	6.389641e-001
9.355371668308798e-002	6.415414e-001
9.572726579023082e-002	6.439138e-001
9.790081489737365e-002	6.460812e-001
1.000743640045165e-001	6.480438e-001
1.022479131116593e-001	6.498014e-001
1.044214622188021e-001	6.513542e-001
1.066480247188021e-001	6.528095e-001
1.088745872188021e-001	6.541531e-001
1.111011497188021e-001	6.553851e-001
1.133277122188020e-001	6.565055e-001
1.155542747188020e-001	6.575142e-001
1.177808372188020e-001	6.584113e-001
1.200073997188020e-001	6.591967e-001
1.223930023973734e-001	6.599615e-001
1.247786050759448e-001	6.606636e-001
1.271642077545162e-001	6.613028e-001
1.295498104330876e-001	6.618792e-001
1.319354131116590e-001	6.623929e-001
1.343210157902304e-001	6.628437e-001
1.367066184688018e-001	6.632318e-001
1.394368082009446e-001	6.636302e-001
1.421669979330874e-001	6.639922e-001
1.448971876652302e-001	6.643176e-001
1.476273773973731e-001	6.646065e-001
1.503575671295159e-001	6.648589e-001
1.530877568616587e-001	6.650748e-001
1.558179465938015e-001	6.652541e-001
1.593168305223729e-001	6.654548e-001
1.628157144509443e-001	6.656336e-001
1.663145983795157e-001	6.657904e-001
1.698134823080871e-001	6.659253e-001
1.733123662366585e-001	6.660381e-001
1.768112501652299e-001	6.661291e-001
1.803101340938012e-001	6.661980e-001
1.810523215938012e-001	6.662128e-001
1.899585715938011e-001	6.663545e-001
1.900000000000000e-001	6.663541e-001
