t	V
0.000000000000000e+000	0.000000e+000
1.000000000000000e-012	-4.245848e-017
3.005839947428012e-010	-5.665349e-009
6.001679894856025e-010	-2.063265e-008
8.997519842284037e-010	-4.490191e-008
1.199335978971205e-009	-7.847313e-008
1.498919973714006e-009	-1.213463e-007
1.798503968456808e-009	-1.735214e-007
2.098087963199608e-009	-2.349985e-007
4.195239926398093e-009	-8.821149e-007
8.389543852795062e-009	-3.004055e-006
1.425920008887033e-008	-7.195541e-006
2.051022856377821e-008	-1.266863e-005
2.722979289193258e-008	-1.889788e-005
3.499846980304973e-008	-2.536442e-005
4.679110624091532e-008	-3.219849e-005
6.368283178104848e-008	-3.537105e-005
9.199834395743328e-008	-2.965228e-005
1.310297891900545e-007	-1.396200e-005
1.733631303718666e-007	3.068616e-007
2.178637767961273e-007	4.648393e-006
2.702782928139803e-007	1.725683e-006
3.605509822214471e-007	-9.477424e-007
5.410963610363809e-007	9.586726e-008
1.217053982132740e-004	1.129492e-005
2.428697000655116e-004	3.797066e-005
3.640340019177492e-004	8.012309e-005
4.851983037699868e-004	1.377522e-004
6.063626056222244e-004	2.108580e-004
7.275269074744620e-004	2.994405e-004
8.486912093266994e-004	4.034996e-004
1.424863084326699e-003	1.032280e-003
2.001034959326699e-003	1.924314e-003
2.577206834326699e-003	3.082042e-003
3.153378709326699e-003	4.488399e-003
3.729550584326699e-003	6.127208e-003
4.305722459326699e-003	7.983136e-003
4.881894334326699e-003	1.004165e-002
5.458066209326699e-003	1.228899e-002
6.034238084326698e-003	1.471211e-002
6.610409959326698e-003	1.729864e-002
7.186581834326698e-003	2.003690e-002
8.338925584326699e-003	2.592482e-002
9.491269334326698e-003	3.229415e-002
1.064361308432670e-002	3.907165e-002
1.179595683432670e-002	4.619183e-002
1.294830058432670e-002	5.359612e-002
1.352447245932670e-002	5.738823e-002
1.410064433432670e-002	6.123222e-002
1.467681620932670e-002	6.512241e-002
1.525298808432670e-002	6.905347e-002
1.582915995932670e-002	7.302036e-002
1.640533183432670e-002	7.701832e-002
1.698150370932670e-002	8.104287e-002
1.755767558432670e-002	8.508980e-002
1.813384745932670e-002	8.915512e-002
1.871001933432670e-002	9.323508e-002
1.928619120932670e-002	9.732616e-002
1.986236308432670e-002	1.014250e-001
2.043853495932670e-002	1.055286e-001
2.101470683432670e-002	1.096340e-001
2.159087870932670e-002	1.137383e-001
2.216705058432670e-002	1.178391e-001
2.274322245932670e-002	1.219338e-001
2.331939433432670e-002	1.260204e-001
2.389556620932670e-002	1.300965e-001
2.504790995932670e-002	1.382098e-001
2.620025370932669e-002	1.462595e-001
2.735259745932669e-002	1.542329e-001
2.908111308432669e-002	1.660269e-001
3.080962870932669e-002	1.775952e-001
3.253814433432670e-002	1.889139e-001
3.401972915575528e-002	1.984131e-001
3.550131397718386e-002	2.076949e-001
3.698289879861245e-002	2.167593e-001
3.846448362004103e-002	2.256064e-001
3.994606844146961e-002	2.342360e-001
4.142765326289818e-002	2.426483e-001
4.290923808432676e-002	2.508432e-001
4.521392558432678e-002	2.631066e-001
4.751861308432679e-002	2.748669e-001
4.982330058432680e-002	2.861240e-001
5.212798808432682e-002	2.968780e-001
5.443267558432684e-002	3.071288e-001
5.673736308432685e-002	3.168765e-001
5.904205058432686e-002	3.261210e-001
6.307525370932687e-002	3.410721e-001
6.710845683432690e-002	3.549694e-001
7.114165995932692e-002	3.678129e-001
7.517486308432694e-002	3.796025e-001
7.920806620932697e-002	3.903383e-001
8.324126933432699e-002	4.000203e-001
8.727447245932701e-002	4.086485e-001
9.130767558432704e-002	4.165790e-001
9.534087870932706e-002	4.239397e-001
9.937408183432708e-002	4.307306e-001
1.034072849593271e-001	4.369517e-001
1.074404880843271e-001	4.426030e-001
1.114736912093272e-001	4.476844e-001
1.155068943343272e-001	4.521961e-001
1.196224077271843e-001	4.564286e-001
1.237379211200415e-001	4.603513e-001
1.278534345128987e-001	4.639641e-001
1.319689479057559e-001	4.672672e-001
1.360844612986130e-001	4.702604e-001
1.401999746914702e-001	4.729437e-001
1.443154880843273e-001	4.753172e-001
1.485133117450417e-001	4.775410e-001
1.527111354057560e-001	4.795994e-001
1.569089590664703e-001	4.814924e-001
1.611067827271846e-001	4.832201e-001
1.653046063878989e-001	4.847824e-001
1.695024300486132e-001	4.861794e-001
1.737002537093275e-001	4.874110e-001
