time	Vo
0.000000000000000e+000	0.000000e+000
1.000000000000000e-012	-1.482741e-016
3.005839947428012e-010	-1.676144e-008
6.001679894856025e-010	-6.103492e-008
8.997519842284037e-010	-1.328204e-007
1.199335978971205e-009	-2.321180e-007
1.498919973714006e-009	-3.589276e-007
1.798503968456808e-009	-5.132492e-007
2.098087963199608e-009	-6.950829e-007
4.195239926398093e-009	-2.409554e-006
6.352909771927793e-009	-5.018498e-006
8.733606079396672e-009	-8.853150e-006
1.096453267862048e-008	-1.327065e-005
1.400393332237768e-008	-2.031320e-005
1.775175784842076e-008	-3.003716e-005
2.298011699579800e-008	-4.447389e-005
2.975123872094541e-008	-6.267159e-005
3.934367962513176e-008	-8.409275e-005
5.271454914232344e-008	-1.018431e-004
7.307563799125496e-008	-1.068431e-004
1.055965641134531e-007	-9.704696e-005
1.657182465346227e-007	-8.757006e-005
2.859616113769619e-007	-8.717360e-005
3.976921540809244e-007	-7.337931e-005
5.448915869569819e-007	-3.823873e-005
7.153853722180085e-007	-7.398176e-006
9.027102306928532e-007	1.032260e-006
1.928661573031909e-004	1.174185e-004
3.848296043756889e-004	4.022538e-004
5.767930514481869e-004	8.555382e-004
7.687564985206849e-004	1.477272e-003
9.607199455931829e-004	2.267454e-003
1.152683392665681e-003	3.226086e-003
1.344646839738179e-003	4.353166e-003
1.530193714738179e-003	5.590952e-003
1.715740589738179e-003	6.975347e-003
1.901287464738179e-003	8.503409e-003
2.086834339738179e-003	1.017223e-002
2.272381214738179e-003	1.197893e-002
2.457928089738179e-003	1.392066e-002
2.643474964738179e-003	1.599462e-002
2.829021839738178e-003	1.819802e-002
3.014568714738178e-003	2.052813e-002
3.385662464738178e-003	2.555764e-002
3.756756214738178e-003	3.106183e-002
4.127849964738179e-003	3.701989e-002
4.684490589738180e-003	4.676367e-002
5.241131214738181e-003	5.741610e-002
5.797771839738182e-003	6.891198e-002
6.433932554023896e-003	8.320485e-002
7.070093268309610e-003	9.822076e-002
7.706253982595324e-003	1.139597e-001
8.342414696881038e-003	1.304217e-001
8.978575411166753e-003	1.476068e-001
9.614736125452467e-003	1.655148e-001
1.025089683973818e-002	1.841460e-001
1.094007094688104e-002	2.048194e-001
1.162924505402389e-002	2.257687e-001
1.231841916116675e-002	2.469941e-001
1.300759326830960e-002	2.684954e-001
1.369676737545246e-002	2.902726e-001
1.438594148259531e-002	3.123258e-001
1.507511558973817e-002	3.346550e-001
1.544620933973817e-002	3.466110e-001
1.563175621473817e-002	3.525918e-001
1.581730308973817e-002	3.585731e-001
1.600284996473817e-002	3.645538e-001
1.637394371473817e-002	3.765095e-001
1.674503746473817e-002	3.884512e-001
1.730167808973818e-002	4.063206e-001
1.785831871473818e-002	4.241170e-001
1.868002630402390e-002	4.503385e-001
1.950173389330962e-002	4.761459e-001
2.032344148259534e-002	5.015392e-001
2.114514907188106e-002	5.265184e-001
2.196685666116678e-002	5.510834e-001
2.278856425045250e-002	5.752343e-001
2.361027183973822e-002	5.989711e-001
2.472355308973823e-002	6.301634e-001
2.583683433973823e-002	6.601371e-001
2.695011558973824e-002	6.888922e-001
2.806339683973825e-002	7.164286e-001
2.917667808973826e-002	7.427464e-001
3.028995933973827e-002	7.678455e-001
3.140324058973827e-002	7.917260e-001
3.195988121473826e-002	8.031428e-001
3.251652183973826e-002	8.142409e-001
3.307316246473825e-002	8.250202e-001
3.362980308973824e-002	8.354808e-001
3.418644371473824e-002	8.456226e-001
3.474308433973823e-002	8.554456e-001
3.529972496473822e-002	8.649499e-001
3.548527183973822e-002	8.680502e-001
3.567081871473822e-002	8.711159e-001
3.585636558973822e-002	8.741473e-001
3.604191246473822e-002	8.771443e-001
3.622745933973821e-002	8.801073e-001
3.641300621473821e-002	8.830361e-001
3.659855308973821e-002	8.859311e-001
3.678409996473821e-002	8.887924e-001
3.715519371473820e-002	8.944141e-001
3.771183433973820e-002	9.025967e-001
3.826847496473819e-002	9.104831e-001
3.924922273259532e-002	9.235996e-001
4.022997050045245e-002	9.359028e-001
4.121071826830958e-002	9.473927e-001
4.219146603616671e-002	9.580692e-001
4.317221380402385e-002	9.679323e-001
4.415296157188098e-002	9.769821e-001
4.513370933973811e-002	9.852185e-001
4.569034996473810e-002	9.896172e-001
4.624699058973809e-002	9.937934e-001
4.680363121473809e-002	9.977528e-001
4.717472496473808e-002	1.000275e+000
4.773136558973808e-002	1.003886e+000
4.828800621473807e-002	1.007295e+000
4.913622050045235e-002	1.012067e+000
4.998443478616662e-002	1.016454e+000
5.083264907188090e-002	1.020457e+000
5.168086335759517e-002	1.024076e+000
5.252907764330945e-002	1.027311e+000
5.337729192902373e-002	1.030161e+000
5.422550621473800e-002	1.032628e+000
5.520625398259513e-002	1.035077e+000
5.618700175045226e-002	1.037195e+000
5.716774951830939e-002	1.038984e+000
5.814849728616652e-002	1.040442e+000
5.912924505402366e-002	1.041570e+000
6.010999282188079e-002	1.042367e+000
6.109074058973792e-002	1.042835e+000
6.183292808973791e-002	1.043050e+000
6.257511558973790e-002	1.043155e+000
6.331730308973789e-002	1.043151e+000
6.405949058973788e-002	1.043038e+000
6.480167808973787e-002	1.042815e+000
6.554386558973786e-002	1.042483e+000
6.628605308973785e-002	1.042041e+000
6.731981425045212e-002	1.041279e+000
6.835357541116641e-002	1.040421e+000
6.938733657188068e-002	1.039465e+000
7.042109773259495e-002	1.038411e+000
7.145485889330923e-002	1.037261e+000
7.248862005402350e-002	1.036013e+000
7.352238121473777e-002	1.034667e+000
7.455614237545204e-002	1.033290e+000
7.558990353616632e-002	1.031899e+000
7.662366469688059e-002	1.030497e+000
7.765742585759486e-002	1.029083e+000
7.869118701830914e-002	1.027656e+000
7.972494817902341e-002	1.026217e+000
8.075870933973768e-002	1.024766e+000
8.195151067902338e-002	1.023120e+000
8.314431201830907e-002	1.021518e+000
8.433711335759478e-002	1.019960e+000
8.552991469688048e-002	1.018446e+000
