time	Vo
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	-1.015646e-008
1.999999943436137e-009	-2.664800e-008
3.999999886872274e-009	-8.352242e-008
7.999999773744548e-009	-2.704626e-007
1.599999954748910e-008	-7.717636e-007
2.621126729385382e-008	-1.383865e-006
3.869661476156795e-008	-1.746323e-006
5.309263698858801e-008	-1.456570e-006
7.103803761267961e-008	-4.390037e-007
8.723274425427709e-008	4.437404e-007
1.093182777406413e-007	8.380481e-007
1.398022660087051e-007	3.792933e-007
1.832913741406807e-007	-2.334153e-007
2.297356450657520e-007	-1.829229e-007
4.339480972388573e-007	-1.235133e-008
6.565959178847827e-007	-7.310410e-009
3.236284995993174e-004	4.747702e-007
6.466004032807499e-004	1.174104e-005
9.695723069621825e-004	3.379151e-005
1.292544210643615e-003	6.662617e-005
1.615516114325048e-003	1.102450e-004
1.938488018006480e-003	1.646481e-004
2.261459921687912e-003	2.298353e-004
3.064959619326481e-003	4.708857e-004
4.041522119326482e-003	9.048365e-004
5.018084619326482e-003	1.516864e-003
5.994647119326482e-003	2.338129e-003
6.971209619326482e-003	3.390617e-003
7.947772119326482e-003	4.693813e-003
8.924334619326482e-003	6.264925e-003
9.900897119326482e-003	8.119089e-003
1.087745961932648e-002	1.026955e-002
1.185402211932648e-002	1.272784e-002
1.283058461932648e-002	1.550391e-002
1.380714711932648e-002	1.860628e-002
1.478370961932648e-002	2.204218e-002
1.576027211932648e-002	2.581762e-002
1.673683461932648e-002	2.993752e-002
1.771339711932648e-002	3.440580e-002
1.868995961932648e-002	3.922546e-002
1.966652211932648e-002	4.439865e-002
2.064308461932648e-002	4.992676e-002
2.161964711932648e-002	5.581043e-002
2.259620961932648e-002	6.204968e-002
2.454933461932648e-002	7.559192e-002
2.650245961932648e-002	9.054223e-002
2.845558461932648e-002	1.068816e-001
3.040870961932648e-002	1.245845e-001
3.333839711932649e-002	1.536257e-001
3.626808461932649e-002	1.855378e-001
3.919777211932649e-002	2.201748e-001
4.212745961932649e-002	2.573741e-001
4.505714711932649e-002	2.969596e-001
4.798683461932649e-002	3.387439e-001
5.091652211932649e-002	3.825307e-001
5.384620961932649e-002	4.281161e-001
5.677589711932649e-002	4.752908e-001
5.970558461932649e-002	5.238407e-001
6.193772747646934e-002	5.618627e-001
6.416987033361220e-002	6.002176e-001
6.640201319075506e-002	6.389055e-001
6.863415604789791e-002	6.779264e-001
7.086629890504077e-002	7.172802e-001
7.309844176218364e-002	7.569669e-001
7.533058461932649e-002	7.969866e-001
7.700469176218362e-002	8.269192e-001
7.867879890504077e-002	8.567131e-001
8.035290604789791e-002	8.863684e-001
8.202701319075506e-002	9.158851e-001
8.370112033361220e-002	9.452632e-001
8.537522747646935e-002	9.745027e-001
8.704933461932649e-002	1.003604e+000
8.928147747646935e-002	1.042047e+000
9.151362033361220e-002	1.079729e+000
9.374576319075506e-002	1.116648e+000
9.597790604789791e-002	1.152805e+000
9.821004890504077e-002	1.188199e+000
1.004421917621836e-001	1.222831e+000
1.026743346193265e-001	1.256700e+000
1.051854953336122e-001	1.293566e+000
1.076966560478979e-001	1.328851e+000
1.102078167621836e-001	1.362556e+000
1.127189774764694e-001	1.394681e+000
1.152301381907551e-001	1.425226e+000
1.177412989050408e-001	1.454191e+000
1.202524596193265e-001	1.481576e+000
1.222055846193265e-001	1.501529e+000
1.241587096193265e-001	1.520311e+000
1.261118346193265e-001	1.537923e+000
1.280649596193265e-001	1.554364e+000
1.300180846193265e-001	1.569635e+000
1.319712096193265e-001	1.583736e+000
1.339243346193265e-001	1.596666e+000
1.354589328336122e-001	1.605942e+000
1.369935310478979e-001	1.614455e+000
1.385281292621836e-001	1.622206e+000
1.400627274764693e-001	1.629194e+000
1.415973256907551e-001	1.635419e+000
1.431319239050408e-001	1.640881e+000
1.446665221193265e-001	1.645581e+000
1.475962096193265e-001	1.652430e+000
1.494098256907551e-001	1.655258e+000
1.512234417621836e-001	1.657055e+000
1.530370578336122e-001	1.657821e+000
1.548506739050408e-001	1.657558e+000
1.566642899764693e-001	1.656264e+000
1.584779060478979e-001	1.653939e+000
1.602915221193265e-001	1.650585e+000
1.633607185478979e-001	1.642448e+000
1.664299149764693e-001	1.631834e+000
1.694991114050408e-001	1.618743e+000
1.725683078336122e-001	1.603173e+000
1.756375042621836e-001	1.585126e+000
1.787067006907551e-001	1.564601e+000
1.817758971193265e-001	1.541598e+000
1.842870578336122e-001	1.521279e+000
1.867982185478979e-001	1.499884e+000
1.893093792621836e-001	1.477413e+000
1.918205399764693e-001	1.453865e+000
1.943317006907551e-001	1.429242e+000
1.968428614050408e-001	1.403543e+000
1.993540221193265e-001	1.376768e+000
2.003305846193265e-001	1.366228e+000
2.013071471193265e-001	1.355578e+000
2.022837096193265e-001	1.344823e+000
2.032602721193265e-001	1.333968e+000
2.042368346193265e-001	1.323020e+000
2.052133971193265e-001	1.311982e+000
2.061899596193265e-001	1.300862e+000
2.071665221193265e-001	1.289665e+000
2.081430846193265e-001	1.278395e+000
2.091196471193265e-001	1.267059e+000
2.100962096193265e-001	1.255662e+000
2.110727721193265e-001	1.244209e+000
2.130258971193265e-001	1.221160e+000
2.149790221193265e-001	1.197954e+000
2.169321471193265e-001	1.174636e+000
2.188852721193265e-001	1.151250e+000
2.208383971193265e-001	1.127838e+000
2.227915221193265e-001	1.104444e+000
2.247446471193265e-001	1.081109e+000
2.266977721193265e-001	1.057875e+000
2.286508971193265e-001	1.034783e+000
2.306040221193265e-001	1.011874e+000
2.325571471193265e-001	9.891878e-001
2.345102721193265e-001	9.667625e-001
2.364633971193265e-001	9.446363e-001
2.384165221193265e-001	9.228461e-001
2.403696471193265e-001	9.014278e-001
2.423227721193265e-001	8.804165e-001
2.442758971193265e-001	8.598459e-001
2.462290221193265e-001	8.397486e-001
2.481821471193265e-001	8.201560e-001
2.501352721193265e-001	8.010984e-001
2.520883971193265e-001	7.826047e-001
2.530649596193265e-001	7.735779e-001
2.540415221193265e-001	7.647023e-001
2.550180846193265e-001	7.559811e-001
2.559946471193265e-001	7.474176e-001
2.569712096193265e-001	7.390146e-001
2.579477721193265e-001	7.307751e-001
2.589243346193265e-001	7.227022e-001
2.599008971193265e-001	7.147985e-001
2.608774596193265e-001	7.070667e-001
2.618540221193265e-001	6.995095e-001
2.628305846193265e-001	6.921293e-001
2.647837096193265e-001	6.779096e-001
2.667368346193265e-001	6.644257e-001
2.696665221193265e-001	6.456157e-001
2.716196471193265e-001	6.340410e-001
2.745493346193265e-001	6.181587e-001
2.765024596193265e-001	6.085606e-001
2.784555846193265e-001	5.997885e-001
2.804087096193265e-001	5.918424e-001
2.823618346193265e-001	5.847221e-001
2.843149596193265e-001	5.784278e-001
2.862680846193265e-001	5.729595e-001
2.882212096193265e-001	5.683171e-001
2.911508971193265e-001	5.629272e-001
2.932435310478980e-001	5.602450e-001
2.953361649764694e-001	5.584862e-001
2.974287989050408e-001	5.576508e-001
2.995214328336122e-001	5.577387e-001
3.016140667621837e-001	5.587500e-001
3.037067006907551e-001	5.606846e-001
3.057993346193265e-001	5.635426e-001
3.090080399764694e-001	5.697915e-001
3.122167453336122e-001	5.778279e-001
3.154254506907551e-001	5.876516e-001
3.186341560478980e-001	5.992629e-001
3.218428614050408e-001	6.126615e-001
3.250515667621837e-001	6.278476e-001
3.282602721193265e-001	6.448210e-001
3.318875042621837e-001	6.659271e-001
3.355147364050408e-001	6.882644e-001
3.391419685478980e-001	7.118330e-001
3.427692006907551e-001	7.366329e-001
3.463964328336122e-001	7.626641e-001
3.500236649764694e-001	7.899266e-001
3.536508971193265e-001	8.184204e-001
3.560225489050408e-001	8.372063e-001
3.583942006907551e-001	8.560556e-001
3.607658524764694e-001	8.749684e-001
3.631375042621837e-001	8.939447e-001
3.655091560478980e-001	9.129845e-001
3.678808078336122e-001	9.320877e-001
3.702524596193265e-001	9.512544e-001
3.731821471193265e-001	9.746059e-001
3.754142899764694e-001	9.923152e-001
3.776464328336122e-001	1.009735e+000
3.798785756907551e-001	1.026864e+000
3.821107185478980e-001	1.043704e+000
3.843428614050408e-001	1.060255e+000
3.865750042621837e-001	1.076515e+000
3.888071471193265e-001	1.092486e+000
3.915973256907551e-001	1.111883e+000
3.943875042621837e-001	1.130441e+000
3.971776828336122e-001	1.148161e+000
3.999678614050408e-001	1.165042e+000
4.027580399764694e-001	1.181084e+000
4.055482185478980e-001	1.196288e+000
4.083383971193265e-001	1.210652e+000
4.105705399764694e-001	1.221366e+000
4.128026828336122e-001	1.231391e+000
4.150348256907551e-001	1.240727e+000
4.172669685478980e-001	1.249376e+000
4.194991114050408e-001	1.257336e+000
4.217312542621837e-001	1.264608e+000
4.239633971193265e-001	1.271192e+000
4.260560310478980e-001	1.276683e+000
4.281486649764694e-001	1.281533e+000
4.302412989050408e-001	1.285742e+000
4.323339328336122e-001	1.289308e+000
4.344265667621837e-001	1.292233e+000
4.365192006907551e-001	1.294515e+000
4.386118346193265e-001	1.296156e+000
4.405649596193265e-001	1.297100e+000
4.425180846193265e-001	1.297509e+000
4.444712096193265e-001	1.297384e+000
4.464243346193265e-001	1.296725e+000
4.483774596193265e-001	1.295533e+000
4.503305846193265e-001	1.293806e+000
4.522837096193265e-001	1.291546e+000
4.559109417621837e-001	1.285825e+000
4.595381739050408e-001	1.278649e+000
4.631654060478980e-001	1.270016e+000
4.667926381907551e-001	1.259928e+000
4.704198703336122e-001	1.248383e+000
4.740471024764694e-001	1.235383e+000
4.776743346193265e-001	1.220927e+000
4.811620578336122e-001	1.205948e+000
4.846497810478980e-001	1.190333e+000
4.881375042621837e-001	1.174083e+000
4.916252274764694e-001	1.157197e+000
4.951129506907551e-001	1.139677e+000
4.986006739050408e-001	1.121521e+000
