Freq.	V(vout)
1.00000000000000e-002	(-6.28820842977998e+000dB,-6.46351980694430e-001°)
1.25892541179417e-002	(-6.28840101626050e+000dB,-8.13700351535654e-001°)
1.58489319246111e-002	(-6.28870622973167e+000dB,-1.02437092803931e+000°)
1.99526231496888e-002	(-6.28918992147844e+000dB,-1.28957243280319e+000°)
2.51188643150958e-002	(-6.28995642327855e+000dB,-1.62340735956981e+000°)
3.16227766016838e-002	(-6.29117100079510e+000dB,-2.04361284323818e+000°)
3.98107170553497e-002	(-6.29309535893558e+000dB,-2.57248502274225e+000°)
5.01187233627273e-002	(-6.29614371135141e+000dB,-3.23802616152544e+000°)
6.30957344480194e-002	(-6.30097113716320e+000dB,-4.07535586055967e+000°)
7.94328234724282e-002	(-6.30861234911725e+000dB,-5.12842248436144e+000°)
1.00000000000000e-001	(-6.32069846865529e+000dB,-6.45202925589636e+000°)
1.25892541179417e-001	(-6.33979276578705e+000dB,-8.11413363554592e+000°)
1.58489319246111e-001	(-6.36990352940589e+000dB,-1.01982560744324e+001°)
1.99526231496888e-001	(-6.41725018599088e+000dB,-1.28055900698436e+001°)
2.51188643150958e-001	(-6.49136626200812e+000dB,-1.60559600780856e+001°)
3.16227766016838e-001	(-6.60659070298500e+000dB,-2.00860515175987e+001°)
3.98107170553498e-001	(-6.78386746359742e+000dB,-2.50423902470947e+001°)
5.01187233627273e-001	(-7.05245258882841e+000dB,-3.10658882075310e+001°)
6.30957344480194e-001	(-7.45057358093216e+000dB,-3.82659016984462e+001°)
7.94328234724282e-001	(-8.02353895171121e+000dB,-4.66871843797714e+001°)
1.00000000000000e+000	(-8.81809819421966e+000dB,-5.62837079100872e+001°)
1.25892541179417e+000	(-9.87406830867359e+000dB,-6.69218370671647e+001°)
1.58489319246112e+000	(-1.12176884561364e+001dB,-7.84255901783681e+001°)
1.99526231496888e+000	(-1.28620367402072e+001dB,-9.06441170205577e+001°)
2.51188643150958e+000	(-1.48152885644985e+001dB,-1.03495030049157e+002°)
3.16227766016838e+000	(-1.70912736366774e+001dB,-1.16950162328396e+002°)
3.98107170553498e+000	(-1.97149700378583e+001dB,-1.30971942902597e+002°)
5.01187233627273e+000	(-2.27192551633554e+001dB,-1.45440816190966e+002°)
6.30957344480194e+000	(-2.61348595126056e+001dB,-1.60116262128561e+002°)
7.94328234724283e+000	(-2.99790838991392e+001dB,-1.74648870392576e+002°)
1.00000000000000e+001	(-3.42480418904415e+001dB,1.71369401423040e+002°)
1.25892541179417e+001	(-3.89139564280345e+001dB,1.58338549786141e+002°)
1.58489319246112e+001	(-4.39276721806436e+001dB,1.46582534032240e+002°)
1.99526231496888e+001	(-4.92263267041833e+001dB,1.36297399209189e+002°)
2.51188643150959e+001	(-5.47439598892895e+001dB,1.27535324927869e+002°)
3.16227766016839e+001	(-6.04208409814142e+001dB,1.20227593932307e+002°)
3.98107170553498e+001	(-6.62085823045359e+001dB,1.14228484437540e+002°)
5.01187233627273e+001	(-7.20710506957598e+001dB,1.09358427352602e+002°)
6.30957344480195e+001	(-7.79827643531176e+001dB,1.05434903326039e+002°)
7.94328234724284e+001	(-8.39264384110258e+001dB,1.02289851625894e+002°)
1.00000000000000e+002	(-8.98906466710109e+001dB,9.97770845074306e+001°)
1.25892541179417e+002	(-9.58679617459263e+001dB,9.77737302204698e+001°)
1.58489319246112e+002	(-1.01853607627383e+002dB,9.61786743620494e+001°)
1.99526231496889e+002	(-1.07844534421087e+002dB,9.49097949409827e+001°)
2.51188643150959e+002	(-1.13838803075797e+002dB,9.39009421444394e+001°)
3.16227766016839e+002	(-1.19835184232510e+002dB,9.30991067674183e+001°)
3.98107170553498e+002	(-1.25832899856733e+002dB,9.24619478581954e+001°)
5.01187233627274e+002	(-1.31831458098662e+002dB,9.19557149512670e+001°)
6.30957344480195e+002	(-1.37830548245754e+002dB,9.15535398894529e+001°)
7.94328234724284e+002	(-1.43829974101643e+002dB,9.12340508163457e+001°)
1.00000000000000e+003	(-1.49829611815025e+002dB,9.09802565530042e+001°)
1.25892541179417e+003	(-1.55829383217200e+002dB,9.07786530490071e+001°)
1.58489319246112e+003	(-1.61829238977574e+002dB,9.06185099068776e+001°)
1.99526231496889e+003	(-1.67829147966870e+002dB,9.04913017895508e+001°)
2.51188643150959e+003	(-1.73829090542341e+002dB,9.03902558390198e+001°)
3.16227766016839e+003	(-1.79829054309651e+002dB,9.03099917107432e+001°)
3.98107170553499e+003	(-1.85829031448264e+002dB,9.02462354084659e+001°)
5.01187233627274e+003	(-1.91829017023663e+002dB,9.01955918576649e+001°)
6.30957344480195e+003	(-1.97829007922338e+002dB,9.01553641953341e+001°)
7.94328234724284e+003	(-2.03829002179784e+002dB,9.01234101972452e+001°)
1.00000000000000e+004	(-2.09828998556475e+002dB,9.00980282192736e+001°)
